Title,Geek Rating,Avg Rating,Num Ratings
12707,8.469,8.66,15951
18208,8.306,8.77,6279
18969,8.226,8.36,26424
17052,8.153,8.29,22791
16126,8.13,8.56,7286
14862,8.082,8.35,12711
287,8.029,8.2,18324
3604,8.022,8.19,16163
17261,7.994,8.11,24014
13567,7.991,8.1,47075
792,7.973,8.06,47516
19557,7.944,8.38,6009
10617,7.943,8.14,17674
18210,7.94,8.1,15226
2557,7.934,8.18,12126
16101,7.914,8.22,10533
17072,7.904,8.35,5825
13435,7.871,7.95,41419
5997,7.866,8.02,19900
14252,7.845,8.02,17277
1097,7.837,8.02,19876
10803,7.825,8.35,5304
4096,7.824,7.93,27763
10058,7.816,7.94,18717
2786,7.81,8.01,10509
16769,7.808,8.08,9304
10992,7.807,8.44,3950
19012,7.798,7.95,17292
7088,7.789,8.28,4534
7735,7.762,9.26,1963
9474,7.757,7.95,11298
279,7.755,7.84,50390
4252,7.746,7.97,9516
18068,7.736,8.0,8586
3612,7.733,7.87,21596
4923,7.727,7.88,21848
6103,7.712,7.94,15516
19436,7.71,8.2,4402
18957,7.709,7.92,14731
1420,7.699,8.43,3743
7937,7.698,8.28,3609
5423,7.697,7.87,12695
12830,7.696,7.84,16993
14332,7.69,7.86,13471
13795,7.684,7.77,33722
10410,7.684,7.8,28177
6888,7.683,7.84,16410
6073,7.68,7.81,18187
5462,7.676,7.8,22851
16157,7.674,7.89,16351
346,7.668,8.36,3168
2219,7.645,7.78,25006
6732,7.623,8.23,3306
5435,7.612,7.7,54892
15175,7.606,7.85,8734
18363,7.6,7.73,19991
18666,7.598,7.82,9361
14529,7.596,7.83,8571
12699,7.586,7.67,60754
3498,7.581,7.75,12592
11315,7.576,8.02,4494
5048,7.574,7.8,14100
4565,7.571,7.81,7525
18876,7.568,7.75,10853
19560,7.563,7.82,8892
17901,7.56,7.73,15359
370,7.547,7.74,17213
1323,7.543,8.02,4591
16339,7.539,7.63,29785
893,7.537,7.78,9383
9451,7.533,7.77,8896
12515,7.53,7.79,7406
10116,7.527,7.88,6142
14673,7.524,8.22,3108
11983,7.518,7.77,7918
17409,7.516,8.07,3425
16486,7.512,7.65,14382
4205,7.507,7.8,6749
15936,7.5,7.65,17700
12854,7.497,8.03,3562
13867,7.494,7.7,9355
4184,7.482,7.92,4298
18308,7.482,7.59,34673
3689,7.481,7.68,11052
7142,7.477,8.07,3534
4384,7.463,7.61,18398
16274,7.463,7.69,7911
9116,7.459,7.64,11528
7793,7.456,7.65,9551
19433,7.45,7.78,5788
