,Game URL,Title
0,/boardgame/161936/pandemic-legacy-season-1,Pandemic Legacy: Season 1
1,/boardgame/182028/through-ages-new-story-civilization,Through the Ages: A New Story of Civilization
2,/boardgame/12333/twilight-struggle,Twilight Struggle
3,/boardgame/120677/terra-mystica,Terra Mystica
4,/boardgame/187645/star-wars-rebellion,Star Wars: Rebellion
5,/boardgame/169786/scythe,Scythe
6,/boardgame/173346/7-wonders-duel,7 Wonders Duel
7,/boardgame/102794/caverna-cave-farmers,Caverna: The Cave Farmers
8,/boardgame/84876/castles-burgundy,The Castles of Burgundy
9,/boardgame/3076/puerto-rico,Puerto Rico
10,/boardgame/31260/agricola,Agricola
11,/boardgame/115746/war-ring-second-edition,War of the Ring (Second Edition)
12,/boardgame/96848/mage-knight-board-game,Mage Knight Board Game
13,/boardgame/25613/through-ages-story-civilization,Through the Ages: A Story of Civilization
14,/boardgame/170216/blood-rage,Blood Rage
15,/boardgame/167791/terraforming-mars,Terraforming Mars
16,/boardgame/164153/star-wars-imperial-assault,Star Wars: Imperial Assault
17,/boardgame/174430/gloomhaven,Gloomhaven
18,/boardgame/2651/power-grid,Power Grid
19,/boardgame/72125/eclipse,Eclipse
20,/boardgame/121921/robinson-crusoe-adventures-cursed-island,Robinson Crusoe: Adventures on the Cursed Island
21,/boardgame/124742/android-netrunner,Android: Netrunner
22,/boardgame/205059/mansions-madness-second-edition,Mansions of Madness: Second Edition
23,/boardgame/178900/codenames,Codenames
24,/boardgame/35677/le-havre,Le Havre
25,/boardgame/28720/brass-lancashire,Brass: Lancashire
26,/boardgame/209010/mechs-vs-minions,Mechs vs. Minions
27,/boardgame/146508/time-stories,T.I.M.E Stories
28,/boardgame/126163/tzolk-mayan-calendar,Tzolk'in: The Mayan Calendar
29,/boardgame/175914/food-chain-magnate,Food Chain Magnate
30,/boardgame/164928/orleans,Orléans
31,/boardgame/122515/keyflower,Keyflower
32,/boardgame/68448/7-wonders,7 Wonders
33,/boardgame/124361/concordia,Concordia
34,/boardgame/171623/voyages-marco-polo,The Voyages of Marco Polo
35,/boardgame/18602/caylus,Caylus
36,/boardgame/205637/arkham-horror-card-game,Arkham Horror: The Card Game
