,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
1,Pandemic Legacy: Season 1,(2015),2,4,4,"[60, 60]",13,2.81,"[Rob Daviau, Matt Leacock]",[Chris Quilliams],"[Z-Man Games, Asterion Press, Devir, Filosofia Éditions, Gém Klub Kft., Hobby Japan, Jolly Thinkers, Lacerta, Lifestyle Boardgames Ltd, MINDOK]","[Environmental, Medical]","[Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers]"
2,Through the Ages: A New Story of Civilization,(2015),2,4,3,"[180, 240]",14,4.29,[Vlaada Chvátil],"[Jakub Politzer, Milan Vavroň]","[Cranio Creations, Czech Games Edition, Devir, DiceTree Games, Eagle-Gryphon Games, Gém Klub Kft., Heidelberger Spieleverlag, IELLO, MINDOK, One Moment Games, REBEL.pl]","[Card Game, Civilization, Economic]","[Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management]"
3,Twilight Struggle,(2005),2,2,2,"[180, 180]",13,3.53,"[Ananda Gupta, Jason Matthews]","[Viktor Csete, Rodger B. MacGowan, Chechu Nieto, Guillaume Ries, Mark Simonitch]","[GMT Games, (Self-Published), Asterion Press, Bard Centrum Gier, Chrononauts Games, Devir, DiceTree Games, MINDOK, Udo Grebe Gamedesign, Wargames Club Publishing]","[Modern Warfare, Political, Wargame]","[Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection]"
4,Terra Mystica,(2012),2,5,4,"[60, 150]",12,3.93,"[Jens Drögemüller, Helge Ostertag]",[Dennis Lohausen],"[Feuerland Spiele, Bard Centrum Gier, Cranio Creations, Devir, Filosofia Éditions, FunBox Jogos, HomoLudicus, MINDOK, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games, Z-Man Games, Zvezda]","[Civilization, Economic, Fantasy, Territory Building]","[Route/Network Building, Variable Phase Order, Variable Player Powers]"
5,Star Wars: Rebellion,(2016),2,4,2,"[180, 240]",14,3.56,[Corey Konieczka],[],"[ADC Blackfire Entertainment, Asterion Press, Edge Entertainment, Fantasy Flight Games, Galakta, Heidelberger Spieleverlag]","[Movies / TV / Radio theme, Science Fiction, Wargame]","[Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management]"
6,Scythe,(2016),1,5,4,"[90, 115]",14,3.32,[Jamey Stegmaier],[Jakub Rozalski],"[Stonemaier Games, Albi, Feuerland Spiele, Fire on Board Jogos, Ghenos Games, Maldito Games, Morning, PHALANX, Playfun Games]","[Civilization, Economic, Exploration, Fighting, Science Fiction, Territory Building]","[Area Control / Area Influence, Grid Movement, Storytelling, Variable Player Powers, Worker Placement]"
7,7 Wonders Duel,(2015),2,2,2,"[30, 30]",10,2.25,"[Antoine Bauza, Bruno Cathala]",[Miguel Coimbra],"[Repos Production, ADC Blackfire Entertainment, Asterion Press, Gém Klub Kft., Kaissa Chess & Games, Lautapelit.fi, Lifestyle Boardgames Ltd, Ludicus, REBEL.pl]","[Ancient, Card Game, City Building, Civilization]","[Card Drafting, Set Collection]"
8,Caverna: The Cave Farmers,(2013),1,7,4,"[30, 210]",12,3.79,[Uwe Rosenberg],[Klemens Franz],"[Lookout Games, 999 Games, Crowd Games, Devir, Filosofia Éditions, Gemenot, Hobby Japan, HomoLudicus, Korea Boardgames co., Ltd., Lacerta, Ludofy Creative, Mayfair Games, MINDOK, Swan Panasia Co., Ltd., uplay.it edizioni]","[Animals, Economic, Fantasy, Farming]","[Tile Placement, Worker Placement]"
9,The Castles of Burgundy,(2011),2,4,2,"[30, 90]",12,3.04,[Stefan Feld],"[Julien Delval, Harald Lieske]","[alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Hobby World]","[Dice, Medieval, Territory Building]","[Dice Rolling, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order]"
10,Puerto Rico,(2002),2,5,4,"[90, 150]",12,3.29,[Andreas Seyfarth],"[Harald Lieske, Franz Vohwinkel]","[alea, Ravensburger Spieleverlag GmbH, Albi, Broadway Toys LTD, Devir, Filosofia Éditions, Gém Klub Kft., Giochi Uniti, Grow Jogos e Brinquedos, Kaissa Chess & Games, Lacerta, Lautapelit.fi, MINDOK, Rio Grande Games, Stratelibri, Swan Panasia Co., Ltd., Tilsit]","[City Building, Economic, Farming]",[Variable Phase Order]
