Rank,Title,Year Published,Geek Rating,Avg Rating,Num Ratings
1,Pandemic Legacy: Season 1,2015,8.469,8.66,15951
2,Through the Ages: A New Story of Civilization,2015,8.306,8.77,6279
3,Twilight Struggle,2005,8.226,8.36,26424
4,Terra Mystica,2012,8.153,8.29,22791
5,Star Wars: Rebellion,2016,8.13,8.56,7286
6,Scythe,2016,8.082,8.35,12711
7,7 Wonders Duel,2015,8.029,8.2,18324
8,Caverna: The Cave Farmers,2013,8.022,8.19,16163
9,The Castles of Burgundy,2011,7.994,8.11,24014
10,Puerto Rico,2002,7.991,8.1,47075
11,Agricola,2007,7.973,8.06,47516
12,War of the Ring (Second Edition),2012,7.944,8.38,6009
13,Mage Knight Board Game,2011,7.943,8.14,17674
14,Through the Ages: A Story of Civilization,2006,7.94,8.1,15226
15,Blood Rage,2015,7.934,8.18,12126
16,Star Wars: Imperial Assault,2014,7.914,8.22,10533
17,Terraforming Mars,2016,7.904,8.35,5825
18,Power Grid,2004,7.871,7.95,41419
19,Eclipse,2011,7.866,8.02,19900
20,Robinson Crusoe: Adventures on the Cursed Island,2012,7.845,8.02,17277
21,Android: Netrunner,2012,7.837,8.02,19876
22,Mansions of Madness: Second Edition,2016,7.825,8.35,5304
23,Codenames,2015,7.824,7.93,27763
24,Le Havre,2008,7.816,7.94,18717
25,Brass,2007,7.81,8.01,10509
26,T.I.M.E Stories,2015,7.808,8.08,9304
27,Mechs vs. Minions,2016,7.807,8.44,3950
28,Tzolk'in: The Mayan Calendar,2012,7.798,7.95,17292
29,Food Chain Magnate,2015,7.789,8.28,4534
30,Orléans,2014,7.788,8.07,7758
31,Gloomhaven,2017,7.762,9.26,1963
32,Keyflower,2012,7.757,7.95,11298
33,7 Wonders,2010,7.755,7.84,50390
34,Concordia,2013,7.746,7.97,9516
35,The Voyages of Marco Polo,2015,7.736,8.0,8586
36,Caylus,2005,7.733,7.87,21596
37,Dead of Winter: A Crossroads Game,2014,7.727,7.88,21848
38,Eldritch Horror,2013,7.712,7.94,15516
39,Viticulture Essential Edition,2015,7.71,8.2,4402
40,Twilight Imperium (Third Edition),2005,7.709,7.92,14731
41,Arkham Horror: The Card Game,2016,7.699,8.43,3743
42,Great Western Trail,2016,7.698,8.28,3609
43,Dominant Species,2010,7.697,7.87,12695
44,Patchwork,2014,7.696,7.84,16993
45,Roll for the Galaxy,2014,7.69,7.86,13471
46,Race for the Galaxy,2007,7.684,7.77,33722
47,Lords of Waterdeep,2012,7.684,7.8,28177
48,Five Tribes,2014,7.683,7.84,16410
49,El Grande,1995,7.68,7.81,18187
50,Dominion: Intrigue,2009,7.676,7.8,22851
51,Star Wars: X-Wing Miniatures Game,2012,7.674,7.89,16351
52,A Feast for Odin,2016,7.668,8.36,3168
53,Battlestar Galactica,2008,7.645,7.78,25006
54,Fields of Arle,2014,7.623,8.23,3306
55,Dominion,2008,7.612,7.7,54892
56,Sherlock Holmes Consulting Detective,1981,7.606,7.85,8734
57,Tigris & Euphrates,1997,7.6,7.73,19991
58,Trajan,2011,7.598,7.82,9361
59,Russian Railroads,2013,7.596,7.83,8571
60,Pandemic,2008,7.586,7.67,60754
61,Castles of Mad King Ludwig,2014,7.581,7.75,12592
62,Mombasa,2015,7.576,8.02,4494
63,Descent: Journeys in the Dark (Second Edition),2012,7.574,7.8,14100
64,Crokinole,1876,7.571,7.81,7525
65,Troyes,2010,7.568,7.75,10853
66,War of the Ring (first edition),2004,7.563,7.82,8892
67,The Resistance: Avalon,2012,7.56,7.73,15359
68,A Game of Thrones: The Board Game (Second Edition),2011,7.547,7.74,17213
69,Arcadia Quest,2014,7.543,8.02,4591
70,Stone Age,2008,7.539,7.63,29785
71,Alchemists,2014,7.537,7.78,9383
72,Kemet,2012,7.533,7.77,8896
73,Ora et Labora,2011,7.53,7.79,7406
74,Legendary Encounters: An Alien Deck Building Game,2014,7.527,7.88,6142
75,Santorini,2017,7.524,8.22,3108
76,Nations,2013,7.518,7.77,7918
77,The Gallerist,2015,7.516,8.07,3425
78,Suburbia,2012,7.512,7.65,14382
79,Commands & Colors: Ancients,2006,7.507,7.8,6749
80,Star Realms,2014,7.5,7.65,17700
81,Paths of Glory,1999,7.497,8.03,3562
82,Railways of the World,2005,7.494,7.7,9355
83,Combat Commander: Europe,2006,7.482,7.92,4298
84,Ticket to Ride: Europe,2005,7.482,7.59,34673
85,Chaos in the Old World,2009,7.481,7.68,11052
86,Forbidden Stars,2015,7.477,8.07,3534
87,Cosmic Encounter,2008,7.463,7.61,18398
88,Steam,2009,7.463,7.69,7911
89,Istanbul,2014,7.459,7.64,11528
90,Goa,2004,7.456,7.65,9551
91,Viticulture,2013,7.45,7.78,5788
92,Splendor,2014,7.444,7.55,28115
93,The Lord of the Rings: The Card Game,2011,7.442,7.65,14556
94,The Princes of Florence,2000,7.44,7.6,13047
95,Age of Steam,2002,7.437,7.7,6681
96,La Granja,2014,7.434,7.82,4616
97,Mage Wars Arena,2012,7.432,7.83,5901
98,Hansa Teutonica,2009,7.426,7.64,8214
99,Jaipur,2009,7.419,7.54,17529
100,Village,2011,7.418,7.57,13345
101,Go,-2200,7.418,7.68,11359
102,Ticket to Ride: Nordic Countries,2007,7.417,7.67,7852
103,Tichu,1991,7.414,7.61,10436
104,Imperial Settlers,2014,7.41,7.6,11657
105,Zombicide: Black Plague,2015,7.409,7.99,4134
106,Legendary: A Marvel Deck Building Game,2012,7.395,7.64,12058
107,Hannibal: Rome vs. Carthage,1996,7.392,7.82,4276
108,Memoir '44,2004,7.391,7.53,19104
109,Ticket to Ride,2004,7.391,7.49,47350
110,Summoner Wars: Master Set,2011,7.386,7.63,8550
111,Lewis & Clark,2013,7.383,7.6,8482
112,Shogun,2006,7.382,7.58,10321
113,Age of Empires III: The Age of Discovery,2007,7.378,7.59,8810
114,Imperial,2006,7.376,7.63,7152
115,Dungeon Petz,2011,7.376,7.59,8426
