Title,Avg Rating,Num Ratings
12707,8.66,16218
18208,8.77,6397
18969,8.36,26547
17052,8.29,22957
16126,8.56,7433
14862,8.35,13146
287,8.2,18674
3604,8.19,16291
17261,8.11,24188
13567,8.1,47225
792,8.06,47657
19557,8.38,6078
10617,8.14,17767
18210,8.1,15256
2557,8.17,12403
17072,8.36,6173
16101,8.22,10623
7735,9.25,2307
13435,7.95,41552
5997,8.02,19977
14252,8.02,17426
1097,8.01,19969
10803,8.35,5478
4096,7.92,28146
10058,7.93,18764
10992,8.43,4086
16769,8.07,9481
19012,7.95,17404
7088,8.28,4638
12551,8.07,7874
9474,7.95,11388
279,7.84,50644
4252,7.97,9607
18068,8.0,8674
3612,7.86,21635
4923,7.88,22054
1420,8.43,4008
7937,8.27,3836
19436,8.2,4535
6103,7.94,15643
18957,7.92,14790
12830,7.84,17267
5423,7.87,12741
14332,7.86,13598
10410,7.8,28322
13795,7.77,33842
6888,7.83,16570
6073,7.81,18238
5462,7.8,22893
346,8.35,3270
16157,7.88,16408
2219,7.78,25086
6732,8.22,3346
5435,7.7,55096
15175,7.85,8820
18363,7.73,20020
18666,7.82,9414
14529,7.83,8623
12699,7.67,61077
3498,7.75,12699
11315,8.02,4573
5048,7.8,14187
4565,7.81,7541
18876,7.75,10926
19560,7.82,8901
17901,7.73,15464
370,7.74,17312
1323,8.02,4664
14673,8.19,3412
16339,7.63,29928
893,7.78,9461
9451,7.77,8964
12515,7.79,7419
10116,7.88,6193
17409,8.07,3474
11983,7.77,7959
16486,7.65,14458
4205,7.8,6763
15936,7.64,17832
12854,8.03,3566
13867,7.7,9369
4184,7.92,4307
3689,7.68,11082
18308,7.59,34866
7142,8.07,3585
16274,7.69,7921
4384,7.61,18497
9116,7.63,11657
7793,7.65,9563
19433,7.78,5816
15782,7.55,28386
17632,7.65,14613
17833,7.6,13062
740,7.7,6689
9914,7.81,4649
10634,7.83,5916
8144,7.64,8250
19387,7.57,13425
9157,7.54,17688
7760,7.68,11397
18318,7.67,7879
18273,7.61,10468
20462,7.99,4214
8886,7.59,11752
10120,7.64,12151
8137,7.82,4283
11044,7.53,19148
18282,7.48,47512
16565,7.63,8571
15219,7.58,10348
10200,7.6,8522
714,7.59,8819
8881,7.63,7162
5818,7.59,8456
7454,7.47,20325
15630,7.54,11702
2092,7.94,3398
14512,7.7,6377
4686,7.54,11883
13782,7.47,15249
20248,7.68,5244
11848,7.54,11242
2722,7.61,6382
7743,7.5,10804
935,7.5,11223
3201,7.43,66033
16971,7.63,5862
8325,7.93,2891
17895,7.44,25097
541,7.69,5062
5352,7.54,9689
14890,7.47,13695
15258,7.51,11238
12017,7.59,6018
806,7.51,8923
3178,7.86,3368
173,7.56,6910
14935,8.07,2201
105,7.81,3324
8883,7.74,3933
9101,7.53,7768
5188,7.67,4481
10662,7.43,22591
13440,8.16,1951
3984,7.61,5527
7891,7.77,3564
14622,7.44,11931
2058,8.12,2114
15421,7.36,42451
5810,7.46,10639
2550,7.87,2980
9642,8.97,1846
7389,7.72,4057
2009,7.42,12104
5335,7.36,30489
10188,7.49,8791
16076,8.02,2602
3962,7.71,3866
11156,7.48,10581
2857,7.49,6916
7643,7.39,13960
633,7.92,2912
6261,7.46,7974
11097,7.45,9479
11269,7.68,3884
10477,7.32,34989
17725,7.49,6602
14182,7.58,5387
20237,7.82,3153
15669,7.57,5821
8574,7.34,19758
12274,7.4,9850
4101,7.63,4197
16857,7.35,19335
12061,7.45,9589
5764,7.61,4532
3943,7.53,6144
8922,7.42,8167
9595,7.31,35590
7699,7.5,5695
580,7.36,15073
15164,7.36,14451
14303,7.58,4375
18368,7.34,13533
9388,7.8,2709
16718,7.76,3109
14586,7.34,12328
14648,7.3,18583
17007,7.44,6565
1403,7.36,29754
348,7.45,6181
18763,7.87,2400
12449,7.38,10802
8952,7.76,2596
18316,7.41,7684
16698,7.33,13424
17814,7.32,13010
2551,7.39,8052
10561,7.44,5754
5970,7.77,2844
4953,7.58,4036
10836,7.98,1902
2089,7.41,8597
1242,7.83,2202
4928,8.17,1827
10796,7.4,10451
1606,7.39,7057
14236,7.76,2473
9952,7.49,4719
10391,7.52,4494
2541,7.57,4457
14955,7.36,10846
7310,7.34,8678
81,7.84,2302
7133,7.29,14300
13623,7.5,4803
11294,7.3,11385
10332,7.42,5463
1071,7.37,7154
7703,7.36,7026
6932,7.28,13485
12841,7.37,9425
5044,7.35,10241
3656,7.69,3028
4626,8.04,2024
8115,7.22,23190
12719,7.42,5520
3524,7.27,66646
15425,7.37,6947
9676,7.24,15049
12209,7.84,2073
18240,7.51,4041
8464,7.41,6893
376,7.95,2141
6036,7.46,4302
19414,7.55,3561
7108,7.22,15298
18416,7.79,2138
1041,7.5,3802
2862,7.64,2789
9006,7.26,10750
8107,7.57,3380
12463,7.66,2948
1346,7.42,4991
16830,7.34,6191
4220,7.96,1777
20416,7.33,10749
858,7.38,5321
10143,7.33,7520
10210,7.27,8686
4161,7.25,11357
6823,7.41,6728
15714,7.48,4569
2376,7.25,9633
15106,8.05,2013
18460,7.39,5521
5091,7.4,4563
361,7.29,9300
9937,7.58,3108
16879,7.29,8488
19372,7.3,6742
1690,7.37,4704
15829,7.23,9898
16465,7.52,3395
19518,7.53,3280
6174,7.38,4881
12705,8.27,1338
17504,7.36,5362
3893,7.15,37179
15941,7.98,1644
10430,7.15,26366
3402,7.31,5675
10036,7.27,6659
6370,7.35,5595
8991,7.85,2151
6409,7.3,6765
17892,7.55,3344
7328,7.25,8614
12764,7.4,4334
7296,7.65,2411
14650,7.67,2346
7267,7.52,3119
7675,7.43,3684
14265,7.16,19229
2932,7.66,2445
12129,7.26,7533
8981,7.18,12821
13184,7.25,7508
15111,7.16,20015
19648,7.64,2848
7543,7.5,3732
15459,7.39,4941
10603,7.67,2303
2291,7.34,4914
5369,7.5,3343
1301,7.39,4070
19191,7.84,1864
16219,7.34,6014
16720,7.15,16865
553,7.34,5150
16329,7.67,2403
11964,7.98,1512
177,7.91,1604
4974,7.39,4500
4272,7.57,2812
16205,8.18,1296
1571,7.66,2806
4603,7.71,2244
18655,7.27,5784
18264,7.13,15062
15528,7.47,3152
16833,7.4,3831
4763,7.43,3563
4428,7.13,20140
16529,7.34,4960
16088,8.21,1468
17349,7.57,2618
10885,7.34,4674
15731,7.45,3315
4191,8.1,1244
16790,7.67,2065
9589,7.2,8271
3774,7.24,5867
6808,8.1,1322
16040,7.58,2708
18408,7.36,3885
10512,7.41,3196
18133,7.19,7551
12452,7.59,2458
14914,7.61,3018
10402,7.32,4293
7387,7.2,8160
637,7.77,1935
12879,7.71,1893
2652,7.07,28088
16131,7.38,4200
250,7.94,1525
4157,7.2,6820
20434,7.57,2757
13631,7.34,4152
3811,7.23,5770
16550,7.67,2026
11209,8.07,1417
3245,7.15,9565
16570,7.62,2175
19307,7.22,5421
3099,7.12,11636
1958,7.73,1823
1054,7.23,5053
17183,8.01,1382
2324,7.14,21194
6337,7.11,11274
11178,7.41,3387
11844,7.35,3687
19747,7.68,1898
4645,7.18,6928
10391,7.22,5846
18507,7.13,8184
15108,8.12,1389
18601,7.17,6937
10891,7.44,3023
11587,7.09,11694
905,7.05,21048
15664,7.46,3164
721,7.47,2575
1320,7.37,3412
6182,7.14,7330
19291,7.32,3696
18452,7.33,3438
12231,7.04,14289
20286,7.51,2512
19664,7.28,5013
16922,7.18,5978
9165,7.1,10086
5294,7.19,6805
19427,8.09,1179
15210,7.39,2893
9415,7.36,3238
20339,7.13,6996
20391,7.68,1799
16288,7.44,2776
3741,7.09,19914
5913,7.35,4067
7335,7.57,2180
14775,7.29,3609
10482,7.39,3203
7158,7.06,11942
12716,7.59,2307
19167,7.25,3922
9335,7.14,6368
20135,7.3,3613
8874,7.34,3291
9629,7.04,12908
18215,7.05,10525
8468,7.63,1992
18753,7.26,3903
15839,7.47,2657
15657,7.59,2006
17338,7.14,5897
13907,7.54,2161
8635,7.32,3037
10138,7.76,1747
12695,7.43,2455
15470,7.45,2659
20216,7.22,4800
2854,7.3,3352
18529,7.08,10028
10999,7.15,5640
16978,7.26,3855
3005,7.1,6899
15131,7.53,2115
2827,7.47,2560
1388,7.82,1432
15837,7.17,4567
4270,8.13,1106
13991,7.17,4584
13835,7.87,1433
13359,7.8,1468
7586,7.15,5434
20577,7.3,3233
10829,7.81,1507
6414,8.03,1250
6091,7.02,14964
1799,7.03,10150
9172,7.06,7260
17500,7.72,1475
13397,7.16,4948
2821,7.67,1595
10712,7.17,4454
19798,7.31,3037
18249,7.4,2410
14588,7.65,1593
7001,7.22,3709
4349,7.26,3257
4139,6.98,13635
16531,8.36,900
16456,7.28,3103
18646,7.39,2561
4069,7.32,2894
3260,7.21,3778
2593,7.06,6707
1542,7.37,2753
10104,7.29,2991
14653,7.19,3791
1518,7.05,8627
16154,7.56,1864
3258,7.09,6389
10474,7.12,4967
14669,7.15,4297
4723,8.23,953
5264,7.07,9780
8228,7.22,3315
5915,7.22,4422
17731,8.05,1117
20016,6.99,9875
11874,7.36,2641
10418,7.29,2821
18234,7.01,8926
2841,7.23,3572
10028,7.03,11942
18223,7.43,2147
2329,7.13,4590
2514,6.95,16688
4648,7.8,1294
4243,8.13,1404
8337,7.93,1325
2986,7.28,2890
4280,7.79,1347
12461,7.36,2585
1530,7.35,2646
8758,7.34,2667
6233,8.11,960
12051,7.47,2104
6776,7.06,5546
1233,7.13,4284
9908,7.1,4632
2187,7.39,2357
19418,8.5,717
17803,7.25,2726
18332,7.26,3428
15359,7.06,5322
9976,7.07,4824
13979,7.02,6166
2081,7.86,1226
3012,7.14,3864
15672,6.98,9521
18792,8.39,805
5684,7.08,4404
4247,6.99,7741
11094,7.24,2844
13517,7.47,1777
1653,7.03,5919
15468,7.5,1890
13419,7.24,3015
19933,7.73,1366
16928,7.29,2517
19009,8.0,1060
14803,7.23,2797
11144,7.17,3311
15464,7.48,1905
11599,7.33,2324
16627,7.6,1476
416,7.27,2499
14322,6.92,9908
19408,7.13,3703
14476,7.6,1691
17990,7.08,4033
10114,7.7,1371
10207,6.92,9274
5290,7.23,2604
7173,6.99,7062
8564,7.13,3953
4547,7.01,6044
11537,7.08,4345
19608,7.49,1982
15095,7.32,2353
19996,7.96,1019
7138,6.86,26278
4327,7.11,3550
14112,7.0,6218
14082,7.16,3191
20032,7.13,3675
3859,7.77,1228
17299,8.03,970
13068,7.39,1875
1997,7.16,3191
260,6.89,11430
10193,7.6,1432
11595,7.01,5034
15521,7.0,4800
12206,7.28,2273
18914,7.16,2881
8201,7.68,1553
20535,6.88,11584
15457,6.9,15604
19287,7.3,2092
3802,7.04,3952
90,7.41,1746
17080,6.97,5661
8373,7.02,8125
5905,6.98,6826
10788,7.02,4496
19125,7.17,2993
10718,7.03,4948
9970,7.07,4057
3516,7.18,2728
17271,7.28,2185
20436,7.77,1280
11138,7.04,3570
17917,7.09,3605
5421,7.04,3850
6630,7.11,3066
13281,7.27,2154
12849,7.52,1546
15666,8.06,979
10793,7.3,2007
6513,7.24,2335
3123,6.86,9004
17013,7.86,1004
19256,7.17,2496
3622,6.98,4394
9488,7.1,2789
6048,7.12,2849
12909,7.19,2262
20298,7.09,3065
10357,6.9,6561
13512,6.98,4224
9651,7.45,1591
20010,7.05,3296
15280,7.58,1284
19636,7.42,1975
374,6.97,5216
8928,6.86,7655
8080,7.04,3231
2456,7.11,2832
8101,7.08,2784
12227,7.83,1016
14089,7.06,3176
16276,7.0,3967
5984,7.48,1368
11092,7.17,2409
8495,6.78,15143
17790,7.78,1277
1014,7.37,1798
19347,7.04,3285
10217,7.19,2230
13451,6.91,5207
13746,6.82,10189
1079,8.46,707
1089,7.58,1251
16391,7.2,2079
6969,7.0,3466
8013,7.04,3169
13641,6.82,11306
17209,7.22,2246
5110,7.03,3212
10349,7.14,2470
17783,7.48,1350
8071,6.97,3705
8828,7.01,4258
9260,7.8,1017
18085,6.88,6996
7125,7.68,1136
639,7.87,941
869,7.39,1542
3629,7.14,2532
19989,6.96,4098
4965,7.16,2346
14473,6.9,7081
6856,7.7,1063
8140,6.91,4547
17765,7.64,1149
9198,7.03,2962
16874,7.21,2061
13658,7.52,1360
1398,6.95,3733
20014,7.39,1476
8405,7.66,1212
20314,7.15,2557
10275,7.1,2464
672,8.13,884
10564,6.77,15005
14198,7.23,1925
10377,6.78,11760
11017,7.08,2558
6848,7.3,1638
18663,7.63,1082
20038,6.89,5292
20375,7.29,1735
18232,8.17,770
11267,6.94,3635
9920,6.99,3252
13886,7.25,1903
13756,6.92,4197
339,8.03,800
7230,7.11,2658
6219,7.94,898
15078,6.85,6199
2618,6.93,3809
1191,6.89,4399
12114,7.02,3012
7833,7.51,1189
641,7.99,815
8514,7.45,1353
431,6.99,3843
5136,6.85,5107
12769,6.93,3658
6537,6.79,7106
11337,7.81,918
3527,6.78,11051
1478,7.2,1863
7414,7.11,2277
14093,6.99,2909
6404,6.9,4123
19520,7.7,965
12827,7.35,1492
17758,7.46,1363
617,7.35,1481
12270,7.19,1806
4729,6.99,3906
4830,7.16,2000
6794,7.03,2569
3254,7.19,1912
18629,7.08,2277
5413,7.56,1134
4153,6.8,6274
5519,7.4,1636
17463,7.39,1388
4898,7.31,1523
69,7.75,925
17221,7.01,2774
4080,7.14,2139
2525,6.88,4144
4750,7.61,1042
5843,6.85,5209
13926,6.84,4754
19343,7.29,1547
3991,6.81,5557
10535,7.08,2190
11141,6.95,2982
19248,7.55,1167
11841,6.88,3567
1074,6.99,2623
5805,6.91,3819
1694,7.46,1200
3926,7.37,1377
14671,6.94,3186
18482,6.96,3549
11009,7.1,2072
14696,6.85,4358
1673,6.79,5629
11860,6.98,2876
5898,7.48,1150
1435,7.89,779
19737,7.35,1322
